Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
4/9/1979,83.46,61.15,158.52,66.31,62.51,104.89,16.01,#N/A,83.46,#N/A,74.85,6.56,86.96,46.24,#N/A,#N/A,33.16,61.15,#N/A,83.46,12,#N/A,62.51,45.95
4/10/1979,83.3,60.91,156.77,65.94,62.17,104.17,15.91,#N/A,83.3,#N/A,74.44,6.52,86.48,45.99,#N/A,#N/A,32.98,60.91,#N/A,83.3,11.97,#N/A,62.17,45.94
4/11/1979,82.82,60.49,156.69,66.02,62.04,103.76,15.99,#N/A,82.82,#N/A,74.82,6.55,86.92,46.22,#N/A,#N/A,33.15,60.49,#N/A,82.82,12.01,#N/A,62.04,46.03
4/12/1979,81.29,59.53,154.98,64.99,60.56,102.06,15.68,#N/A,81.29,#N/A,76.36,6.38,85.2,45.33,#N/A,#N/A,32.49,59.53,#N/A,81.29,11.72,#N/A,60.56,45.01
4/13/1979,81.29,59.52,154.98,64.99,60.56,102.06,15.68,#N/A,81.29,#N/A,76.36,6.38,85.2,45.33,#N/A,#N/A,32.49,59.52,#N/A,81.29,11.72,#N/A,60.56,45.01
4/16/1979,81.29,59.52,154.98,64.99,60.56,102.06,15.68,#N/A,81.29,#N/A,76.36,6.38,84.99,45.33,#N/A,#N/A,32.49,59.52,#N/A,81.29,11.72,#N/A,60.56,45.01
4/17/1979,80.58,59.09,155.02,64.3,59.92,100.99,15.51,#N/A,80.58,#N/A,75.56,6.32,84.1,44.86,#N/A,#N/A,32.15,59.09,#N/A,80.58,11.6,#N/A,59.92,44.61
4/18/1979,81.03,59.31,155.72,65.03,60.49,101.88,15.79,#N/A,81.03,#N/A,76.91,6.43,85.61,45.66,#N/A,#N/A,32.73,59.31,#N/A,81.03,11.77,#N/A,60.49,45.17
4/19/1979,83.7,61.15,160.58,67.02,62.35,104.6,16.19,#N/A,83.7,#N/A,78.86,6.59,87.77,46.82,#N/A,#N/A,33.56,61.15,#N/A,83.7,12.09,#N/A,62.35,46.35
4/20/1979,82.14,60.25,160.1,66.1,61.34,103.82,16.07,#N/A,82.14,#N/A,78.27,6.54,87.12,46.47,#N/A,#N/A,33.31,60.25,#N/A,82.14,11.92,#N/A,61.34,45.88
4/23/1979,82.3,60.3,159.15,66.2,61.16,102.98,15.98,#N/A,82.3,#N/A,74.09,6.47,85.95,45.76,#N/A,#N/A,33.11,60.3,#N/A,82.3,11.86,#N/A,61.16,45.57
4/24/1979,83.29,60.9,161.27,67.02,61.92,104.25,16.21,#N/A,83.29,#N/A,75.16,6.56,87.19,46.42,#N/A,#N/A,33.59,60.9,#N/A,83.29,12,#N/A,61.92,46.24
4/25/1979,84.02,61.37,162.4,68.47,62.32,104.86,16.52,#N/A,84.02,#N/A,76.63,6.69,88.89,47.32,#N/A,#N/A,34.24,61.37,#N/A,84.02,12.16,#N/A,62.32,46.69
4/26/1979,84.16,61.49,162.75,68.54,62.78,104.86,16.56,#N/A,84.16,#N/A,76.79,6.7,89.09,47.43,#N/A,#N/A,34.31,61.49,#N/A,84.16,12.15,#N/A,62.78,46.7
4/27/1979,84.68,61.67,164.25,68.56,62.7,105.32,16.49,#N/A,84.68,#N/A,76.47,6.67,88.71,47.23,#N/A,#N/A,34.17,61.67,#N/A,84.68,12.12,#N/A,62.7,46.87
4/30/1979,85.23,62.33,166.78,68.69,63.01,106.25,16.46,#N/A,85.23,#N/A,75.9,6.66,88,46.77,#N/A,#N/A,33.93,62.33,#N/A,85.23,12.22,#N/A,63.01,47.13
5/1/1979,85.93,62.35,169.4,69.12,63.7,107.24,16.72,#N/A,85.93,#N/A,77.09,6.77,89.38,47.51,#N/A,#N/A,34.46,62.35,#N/A,85.93,12.34,#N/A,63.7,47.71
5/2/1979,85.58,62.49,170.99,68.85,63.67,107.54,16.65,#N/A,85.58,#N/A,76.77,6.74,89.01,47.31,#N/A,#N/A,34.32,62.49,#N/A,85.58,12.36,#N/A,63.67,47.81
5/3/1979,85.65,62.54,170.17,68.61,63.64,107.14,16.51,#N/A,85.65,#N/A,76.16,6.69,88.3,46.93,#N/A,#N/A,34.04,62.54,#N/A,85.65,12.31,#N/A,63.64,47.59
5/4/1979,86.33,63.03,168.47,69.12,64.34,107.84,16.64,#N/A,86.33,#N/A,77.7,6.76,88.94,47.84,#N/A,#N/A,34.29,63.03,#N/A,86.33,12.35,#N/A,64.34,47.79
5/7/1979,86.33,63.03,168.47,69.12,64.34,107.84,16.64,#N/A,86.33,#N/A,77.7,6.76,88.94,47.84,#N/A,#N/A,34.29,63.03,#N/A,86.33,12.35,#N/A,64.34,47.79
5/8/1979,86.5,63.14,174.27,69.61,65.45,108.53,16.89,#N/A,86.5,#N/A,78.92,6.87,90.33,48.58,#N/A,#N/A,34.83,63.14,#N/A,86.5,12.47,#N/A,65.45,48.05
5/9/1979,86.15,62.89,162.29,69.33,64.82,107.14,16.68,#N/A,86.15,#N/A,77.91,6.78,89.17,47.96,#N/A,#N/A,34.38,62.89,#N/A,86.15,12.31,#N/A,64.82,47.3
5/10/1979,87.65,64.09,166.26,71.15,65.98,109.36,17.14,#N/A,87.65,#N/A,80.09,6.97,91.67,49.3,#N/A,#N/A,35.34,64.09,#N/A,87.65,12.66,#N/A,65.98,48.42
5/11/1979,87.39,63.95,166.79,71.17,65.98,109.63,17.2,#N/A,87.39,#N/A,80.34,6.99,91.96,49.46,#N/A,#N/A,35.46,63.95,#N/A,87.39,12.63,#N/A,65.98,48.58
5/14/1979,87.21,63.83,164.91,70.99,65.91,109.06,17.09,#N/A,87.21,#N/A,78.11,6.85,90.97,48.67,#N/A,#N/A,35.3,63.83,#N/A,87.21,12.57,#N/A,65.91,48.13
5/15/1979,88.78,65.11,167.05,71.6,66.53,110.78,16.9,#N/A,88.78,#N/A,78.22,6.86,91.1,48.74,#N/A,#N/A,35.35,65.11,#N/A,88.78,12.59,#N/A,66.53,48.54
5/16/1979,89.12,65.33,169.18,71.95,66.97,111.99,17.09,#N/A,89.12,#N/A,79.13,6.94,92.16,49.31,#N/A,#N/A,35.76,65.33,#N/A,89.12,12.77,#N/A,66.97,49.14
5/17/1979,89.23,65.56,171.87,72.21,67.33,112.95,17.23,#N/A,89.23,#N/A,79.76,6.99,92.89,49.7,#N/A,#N/A,36.04,65.56,#N/A,89.23,12.85,#N/A,67.33,49.6
5/18/1979,89.09,65.72,173.51,72.38,67.22,113.39,17.3,#N/A,89.09,#N/A,80.07,7.02,93.25,49.89,#N/A,#N/A,36.18,65.72,#N/A,89.09,12.81,#N/A,67.22,49.68
5/21/1979,91.04,67.26,175.96,74.12,68.36,115.03,17.57,#N/A,91.04,#N/A,81.99,7.13,94.61,50.57,#N/A,#N/A,36.76,67.26,#N/A,91.04,13.01,#N/A,68.36,50.32
5/22/1979,92.22,68.05,179.22,75.01,69.49,116.68,17.84,#N/A,92.22,#N/A,83.23,7.24,96.04,51.33,#N/A,#N/A,37.31,68.05,#N/A,92.22,13.17,#N/A,69.49,51.12
5/23/1979,91.78,67.69,177.89,74.24,68.85,115.65,17.62,#N/A,91.78,#N/A,82.2,7.15,94.85,50.7,#N/A,#N/A,36.85,67.69,#N/A,91.78,13.08,#N/A,68.85,50.83
5/24/1979,91.64,67.5,177.18,74.27,68.74,115.37,17.62,#N/A,91.64,#N/A,82.24,7.15,94.89,50.72,#N/A,#N/A,36.87,67.5,#N/A,91.64,13.07,#N/A,68.74,50.78
5/25/1979,94.02,69.36,182.95,76.27,70.81,118.77,18.12,#N/A,94.02,#N/A,85.03,7.38,97.55,52.3,#N/A,#N/A,37.9,69.36,#N/A,94.02,13.46,#N/A,70.81,52.16
5/28/1979,94.02,69.36,182.95,76.27,70.81,118.77,18.12,#N/A,94.02,#N/A,85.03,7.38,97.55,52.3,#N/A,#N/A,37.9,69.36,#N/A,94.02,13.46,#N/A,70.81,52.16
5/29/1979,95.14,70.27,188.88,77.01,72.33,121.65,18.48,#N/A,95.14,#N/A,86.73,7.53,99.5,53.35,#N/A,#N/A,38.66,70.27,#N/A,95.14,13.72,#N/A,72.33,53.29
5/30/1979,93.9,69.22,184.93,75.92,71.55,119.63,18.22,#N/A,93.9,#N/A,85.52,7.42,98.12,52.6,#N/A,#N/A,38.12,69.22,#N/A,93.9,13.59,#N/A,71.55,52.68
5/31/1979,95.41,70.18,188.08,76.71,72.75,120.93,18.42,#N/A,95.41,#N/A,86.45,7.5,99.18,53.18,#N/A,#N/A,38.69,70.18,#N/A,95.41,13.8,#N/A,72.75,53.44
6/1/1979,95.59,70.46,188.59,76.66,72.99,121.39,18.35,#N/A,95.59,#N/A,86.12,7.47,98.8,52.97,#N/A,#N/A,38.54,70.46,#N/A,95.59,13.77,#N/A,72.99,53.29
6/4/1979,94.82,69.79,185.26,75.93,72.75,119.63,18.11,#N/A,94.82,#N/A,86.12,7.47,99.28,52.84,#N/A,#N/A,38.05,69.79,#N/A,94.82,13.66,#N/A,72.75,52.66
6/5/1979,95.47,70.3,187.63,76.34,73.28,121.06,18.24,#N/A,95.47,#N/A,86.69,7.52,99.95,53.19,#N/A,#N/A,38.3,70.3,#N/A,95.47,13.74,#N/A,73.28,53.16
6/6/1979,97.29,71.69,190.52,78.05,74.54,123.3,18.62,#N/A,97.29,#N/A,88.51,7.68,102.05,54.31,#N/A,#N/A,39.11,71.69,#N/A,97.29,13.99,#N/A,74.54,54.14
6/7/1979,95.92,70.65,188.79,77.26,74.44,122.21,18.61,#N/A,95.92,#N/A,88.43,7.67,101.95,54.26,#N/A,#N/A,39.07,70.65,#N/A,95.92,13.94,#N/A,74.44,53.87
6/8/1979,97.29,71.59,187.53,78.46,73.73,121.52,18.5,#N/A,97.29,#N/A,87.94,7.63,101.38,53.95,#N/A,#N/A,38.85,71.59,#N/A,97.29,13.86,#N/A,73.73,53.49
6/11/1979,98.11,72.21,190.27,78.9,75.07,123.8,18.79,#N/A,98.11,#N/A,88.64,7.71,102.28,54.34,#N/A,#N/A,39.44,72.21,#N/A,98.11,14.07,#N/A,75.07,54.29
6/12/1979,96.51,70.99,188.75,76.77,74.1,122.2,18.35,#N/A,96.51,#N/A,86.59,7.54,99.91,53.09,#N/A,#N/A,38.53,70.99,#N/A,96.51,13.85,#N/A,74.1,53.55
6/13/1979,96.11,70.62,187.26,76,73.16,120.84,18.06,#N/A,96.11,#N/A,85.21,7.42,98.32,52.24,#N/A,#N/A,37.92,70.62,#N/A,96.11,13.76,#N/A,73.16,53.2
6/14/1979,96.94,71.19,189.01,76.96,73.94,121.82,18.3,#N/A,96.94,#N/A,86.38,7.52,99.67,52.96,#N/A,#N/A,38.44,71.19,#N/A,96.94,13.87,#N/A,73.94,53.64
